City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
156,padang,-0.9492,100.3543,80.65,79,100,4.68,ID
157,holme,56.1138,10.1725,37.18,84,47,11.3,DK
158,altay,47.8667,88.1167,3.25,99,100,2.17,CN
159,killin,33.6123,-91.7412,37.49,86,20,0.0,US
160,sorland,67.667,12.6934,39.06,68,99,24.72,NO
161,mahebourg,-20.4081,57.7,79.09,83,75,5.75,MU
162,taoudenni,22.6783,-3.9836,75.11,14,0,4.59,ML
163,xapuri,-10.6517,-68.5044,74.37,92,68,4.43,BR
164,cape town,-33.9258,18.4232,72.37,42,97,11.99,ZA
165,bilibino,68.0546,166.4372,-15.12,71,99,4.43,RU
166,georgetown,5.4112,100.3354,82.33,87,40,0.0,MY
167,van,38.4924,43.3831,34.95,55,20,5.75,TR
168,natal,-5.795,-35.2094,83.05,65,75,12.66,BR
169,port keats,-14.25,129.55,76.23,94,100,10.87,AU
170,tete,-16.1564,33.5867,74.53,89,100,4.32,MZ
171,iranshahr,27.2025,60.6848,58.32,15,0,15.97,IR
172,kavaratti,10.5669,72.642,79.79,76,100,14.27,IN
173,nemuro,43.3236,145.575,25.14,80,98,17.58,JP
174,kavieng,-2.5744,150.7967,82.08,76,84,8.41,PG
175,ancud,-41.8697,-73.8203,55.24,77,17,6.6,CL
176,kaitangata,-46.2817,169.8464,50.61,89,12,5.95,NZ
177,hue,16.4667,107.6,60.91,100,75,14.97,VN
178,khuzhir,53.1939,107.3397,-9.8,84,100,3.89,RU
179,constitucion,-35.3333,-72.4167,61.83,95,80,7.23,CL
180,nelson bay,-32.7167,152.15,75.99,92,23,10.0,AU
181,bilma,18.6853,12.9164,87.4,7,2,8.28,NE
182,tilichiki,60.4667,166.1,1.22,85,100,11.27,RU
183,jennings,38.7192,-90.2604,33.91,86,0,0.0,US
184,pimenta bueno,-11.6725,-61.1936,75.51,91,91,3.51,BR
185,bam,29.106,58.357,45.37,26,0,10.69,IR
186,saint-leu,-21.15,55.2833,77.86,93,100,4.18,RE
187,ahar,38.4774,47.0699,32.72,50,34,7.23,IR
188,reykjavik,64.1355,-21.8954,39.38,90,83,12.15,IS
189,ornskoldsvik,63.2909,18.7153,31.15,100,81,0.0,SE
190,mahibadhoo,3.7833,72.9667,77.83,84,100,18.57,MV
191,kamen-rybolov,44.7481,132.0403,-9.15,86,100,11.21,RU
192,beauraing,50.1104,4.9555,33.49,86,61,6.55,BE
193,kysyl-syr,63.8986,122.7617,-48.44,99,100,5.03,RU
194,zinder,13.8072,8.9881,91.4,8,17,10.89,NE
195,yellowknife,62.456,-114.3525,5.56,84,98,10.0,CA
196,paamiut,61.994,-49.6678,28.49,90,100,21.03,GL
197,mazamari,-11.3258,-74.5308,69.48,88,95,0.81,PE
198,collie,-33.3667,116.15,70.59,54,0,12.46,AU
199,luganville,-15.5333,167.1667,79.32,84,96,4.23,VU
200,east london,-33.0153,27.9116,78.22,68,30,21.74,ZA
201,kapaa,22.0752,-159.319,69.78,80,0,6.91,US
202,monte aprazivel,-20.7725,-49.7142,73.02,90,100,7.87,BR
203,bethel,41.3712,-73.414,36.48,70,100,10.36,US
204,rawson,-43.3002,-65.1023,56.53,64,69,31.54,AR
205,kahului,20.8947,-156.47,71.83,88,0,4.61,US
206,longyearbyen,78.2186,15.6401,24.64,86,75,19.57,SJ
207,bartica,6.4,-58.6167,73.72,96,91,0.87,GY
208,kismayo,-0.3582,42.5454,82.94,65,20,18.63,SO
209,te anau,-45.4167,167.7167,52.18,78,56,1.92,NZ
210,eureka,40.8021,-124.1637,38.59,71,19,5.26,US
211,miranda,3.2499,-76.2281,64.53,83,72,2.89,CO
212,phuket,8.0,98.25,86.09,83,40,4.61,TH
213,los llanos de aridane,28.6585,-17.9182,64.15,70,40,6.91,ES
214,leningradskiy,69.3833,178.4167,-23.4,92,19,8.99,RU
215,marsh harbour,26.5412,-77.0636,70.29,75,100,17.9,BS
216,nacogdoches,31.6002,-94.6335,46.04,84,100,5.75,US
217,praia da vitoria,38.7333,-27.0667,61.75,83,94,17.22,PT
218,chicholi,21.4667,79.6833,80.53,39,48,1.45,IN
219,kinshasa,-4.3246,15.3215,86.7,57,95,5.14,CD
220,kilindoni,-7.9139,39.6668,82.42,75,100,12.1,TZ
221,henties bay,-22.116,14.2845,67.77,74,100,12.73,NA
222,oussouye,12.485,-16.5469,83.19,42,16,5.35,SN
223,buala,-8.145,159.5921,78.93,83,100,2.51,SB
224,severo-yeniseyskiy,60.3725,93.0408,-21.28,100,96,3.04,RU
225,ambon,-3.6954,128.1814,80.74,83,20,5.75,ID
226,gander,48.9682,-54.5906,41.16,100,100,24.0,CA
227,havre-saint-pierre,50.2334,-63.5986,19.33,69,10,13.65,CA
228,luderitz,-26.6481,15.1594,73.63,54,29,27.6,NA
229,isiro,2.7739,27.616,94.73,18,99,3.24,CD
230,piombino,42.9348,10.5221,56.75,56,92,5.99,IT
231,chuy,-33.6971,-53.4616,72.75,53,0,5.48,UY
232,faanui,-16.4833,-151.75,79.56,71,100,7.45,PF
233,ixtapa,20.7,-105.2,69.22,94,40,0.0,MX
234,nanortalik,60.1432,-45.2371,30.9,83,100,4.16,GL
235,naze,28.3667,129.4833,41.92,78,100,30.53,JP
236,labuhan,-6.8844,112.2051,78.84,87,93,5.61,ID
237,vao,-22.6667,167.4833,78.49,79,40,3.0,NC
238,kotri,25.366,68.3122,69.4,16,0,5.93,PK
239,selma,36.5708,-119.6121,37.98,100,0,5.75,US
240,preston,53.7667,-2.7167,44.85,90,75,5.75,GB
241,garowe,8.4054,48.4845,87.55,20,6,14.03,SO
242,sayaxche,16.5167,-90.1667,64.4,99,26,1.28,GT
243,galesong,-5.3166,119.3661,75.22,79,100,2.75,ID
244,malinovskiy,61.1953,62.8397,14.43,92,55,5.64,RU
245,samarai,-10.6167,150.6667,82.89,78,100,13.42,PG
246,katsuura,35.1333,140.3,35.69,76,83,23.94,JP
247,bedesa,8.9,40.7833,78.89,27,89,9.55,ET
248,impfondo,1.6381,18.0667,102.45,19,99,2.13,CG
249,fuxin,42.0156,121.6589,3.52,38,0,6.4,CN
250,sangar,63.9242,127.4739,-47.6,95,88,3.0,RU
251,port blair,11.6667,92.75,78.44,66,100,10.67,IN
252,mersing,2.4312,103.8405,73.87,95,100,6.46,MY
253,victoria,22.2855,114.1577,59.38,46,18,15.99,HK
254,axim,4.8699,-2.2405,86.07,64,33,6.82,GH
255,maloy,61.9353,5.1136,48.72,18,100,24.07,NO
256,krasnaya gora,52.9995,31.6023,34.41,53,0,2.08,RU
257,olafsvik,64.8945,-23.7142,41.41,86,70,19.73,IS
258,hammerfest,70.6634,23.6821,32.45,93,75,37.98,NO
259,majene,-3.5403,118.9707,78.78,81,100,3.98,ID
260,iquitos,-3.7481,-73.2472,73.44,94,75,3.44,PE
261,port hardy,50.6996,-127.4199,42.17,96,100,10.51,CA
262,dali,25.7,100.1833,49.35,45,11,5.57,CN
263,esso,55.9333,158.7,1.09,98,100,3.67,RU
264,butajira,8.1167,38.3667,78.87,17,90,10.65,ET
265,lompoc,34.6391,-120.4579,50.92,77,0,8.05,US
266,grand gaube,-20.0064,57.6608,79.2,85,100,9.98,MU
267,asyut,27.181,31.1837,75.16,27,0,12.97,EG
268,baruun-urt,46.6806,113.2792,-8.59,83,100,15.17,MN
269,pangnirtung,66.1451,-65.7125,-9.53,99,100,1.45,CA
270,hilo,19.7297,-155.09,72.28,91,100,8.05,US
271,namatanai,-3.6667,152.4333,79.84,81,75,6.2,PG
272,avarua,-21.2078,-159.775,71.65,100,87,2.3,CK
273,quatre cocos,-20.2078,57.7625,78.91,90,100,9.86,MU
274,geraldton,-28.7667,114.6,72.01,83,75,17.27,AU
275,abha,18.2164,42.5053,62.85,48,20,14.97,SA
276,dunedin,-45.8742,170.5036,55.8,77,68,4.0,NZ
277,tapes,-30.6733,-51.3958,78.71,68,0,5.17,BR
278,dossor,47.5272,52.9811,29.84,44,11,12.66,KZ
279,manitouwadge,49.1215,-85.8403,-19.53,100,87,2.17,CA
280,motril,36.7507,-3.5179,55.27,50,11,5.66,ES
281,puerto penasco,31.3167,-113.5333,51.4,42,0,8.88,MX
282,avera,33.194,-82.5271,27.91,77,0,2.77,US
283,cayenne,4.9333,-52.3333,78.84,73,40,11.5,GF
284,fairbanks,64.8378,-147.7164,-4.04,77,100,0.0,US
285,bacolod,10.6667,122.95,77.09,82,57,15.03,PH
286,san quintin,30.4833,-115.95,51.21,40,0,4.74,MX
287,codrington,-38.2667,141.9667,61.27,77,36,7.36,AU
288,tuatapere,-46.1333,167.6833,47.57,90,1,3.24,NZ
289,mount gambier,-37.8333,140.7667,54.39,94,23,4.61,AU
290,gizo,-8.103,156.8419,78.58,86,100,3.27,SB
291,marsa matruh,31.3525,27.2453,64.02,62,0,11.7,EG
292,alofi,-19.0595,-169.9187,80.28,75,17,8.3,NU
293,lere,10.387,8.5726,91.58,10,60,7.7,NG
294,palaikastron,35.2,26.25,61.23,70,8,6.53,GR
295,hai duong,20.9333,106.3167,62.6,37,67,6.73,VN
296,sao filipe,14.8961,-24.4956,70.95,64,22,5.53,CV
297,pisco,-13.7,-76.2167,68.05,83,99,6.91,PE
298,pochutla,15.7432,-96.4661,67.82,65,0,3.15,MX
299,antsohihy,-14.8796,47.9875,74.43,94,99,9.98,MG
300,maldonado,-34.6667,-54.9167,75.22,31,0,6.06,UY
301,svetlyy,54.675,20.1347,33.96,69,75,7.56,RU
302,puerto escondido,15.85,-97.0667,74.41,69,1,3.89,MX
303,nome,64.5011,-165.4064,-2.13,65,0,9.22,US
304,rakaia,-43.75,172.0167,56.37,84,100,10.13,NZ
305,presidencia roque saenz pena,-26.7852,-60.4388,84.94,54,0,7.83,AR
306,sri aman,1.2376,111.4621,74.93,98,100,2.21,MY
307,swan hill,-35.3378,143.5544,68.43,65,45,1.01,AU
308,riyadh,24.6877,46.7219,64.54,48,60,13.44,SA
309,liverpool,53.4106,-2.9779,43.29,93,100,1.14,GB
310,laguna,38.421,-121.4238,41.94,91,0,0.0,US
311,kushima,31.4583,131.2333,30.79,70,56,15.84,JP
312,vila velha,-20.3297,-40.2925,73.35,98,75,3.44,BR
313,skreia,60.65,10.9333,33.33,96,100,0.67,NO
314,havoysund,70.9963,24.6622,32.23,75,72,41.47,NO
315,necochea,-38.5473,-58.7368,77.97,39,23,17.96,AR
316,meulaboh,4.1363,96.1285,77.23,88,90,9.19,ID
317,olinda,-8.0089,-34.8553,83.93,65,40,8.05,BR
318,lantawan,10.6167,123.9833,78.49,85,42,12.19,PH
319,mogzon,51.7435,111.9606,-17.12,93,100,1.48,RU
320,harper,4.375,-7.7169,85.5,65,47,6.89,LR
321,touros,-5.1989,-35.4608,83.66,65,32,11.41,BR
322,ko samui,9.5357,99.9357,81.45,70,99,8.61,TH
323,camana,-16.6228,-72.7111,72.21,88,100,5.82,PE
324,hami,42.8,93.45,16.61,23,3,2.95,CN
325,qandala,11.472,49.8728,77.9,61,10,12.17,SO
326,ilulissat,69.2167,-51.1,16.72,77,100,9.13,GL
327,fortuna,40.5982,-124.1573,38.32,100,0,9.22,US
328,touho,-20.7833,165.2333,80.04,82,20,4.63,NC
329,charters towers,-20.1,146.2667,75.83,76,26,11.23,AU
330,rocha,-34.4833,-54.3333,76.55,35,0,6.35,UY
331,kupang,-10.1667,123.5833,79.38,89,40,5.75,ID
332,kidal,18.4411,1.4078,88.47,8,0,3.27,ML
